,batsman,Runs_scored,Balls_Faced,Matches_played,Fours,Sixes,Fifties,Hundreds,Highest_score,Average,Strike_rate,Strike_rate_6_Overs,Strike_rate_7-14_Overs,Strike_rate_16-20_Overs
106,N Pooran,521,323,20,33.0,39.0,2.0,0.0,77,30.647058823529413,161.3003095975232,163.1578947368421,160.84656084656083,163.1578947368421
107,M Manhas,514,486,38,43.0,10.0,0.0,0.0,42,21.416666666666668,105.76131687242798,83.78378378378379,93.69369369369369,83.78378378378379
108,Gurkeerat Singh,511,436,32,55.0,11.0,2.0,0.0,65,18.925925925925927,117.20183486238533,87.27272727272727,99.53051643192488,87.27272727272727
109,OA Shah,506,405,22,34.0,23.0,4.0,0.0,76,38.92307692307692,124.93827160493827,103.44827586206897,105.0761421319797,103.44827586206897
110,PC Valthaty,505,432,23,61.0,20.0,2.0,1.0,120,22.954545454545453,116.89814814814815,104.15335463258786,137.11340206185568,104.15335463258786
111,D Padikkal,473,398,15,51.0,8.0,5.0,0.0,74,33.785714285714285,118.84422110552764,120.16460905349794,118.05555555555556,120.16460905349794
112,DT Christian,446,384,34,22.0,19.0,0.0,0.0,39,18.583333333333332,116.14583333333333,40.0,90.06211180124224,40.0
113,SN Khan,441,321,25,50.0,11.0,1.0,0.0,67,22.05,137.38317757009347,117.94871794871794,112.03007518796993,117.94871794871794
114,E Lewis,430,343,16,36.0,26.0,2.0,0.0,65,26.875,125.36443148688046,127.23214285714286,124.34782608695652,127.23214285714286
115,SA Asnodkar,423,352,19,56.0,10.0,2.0,0.0,60,22.263157894736842,120.17045454545455,121.4574898785425,117.14285714285714,121.4574898785425
116,NLTC Perera,422,324,30,23.0,26.0,0.0,0.0,40,17.583333333333332,130.2469135802469,117.6470588235294,114.40677966101696,117.6470588235294
117,JR Hopes,417,314,19,49.0,11.0,4.0,0.0,71,24.529411764705884,132.80254777070064,121.93548387096774,146.01769911504425,121.93548387096774
118,R Ashwin,412,384,55,35.0,11.0,0.0,0.0,45,11.444444444444445,107.29166666666667,48.38709677419355,96.7032967032967,48.38709677419355
119,J Botha,409,364,28,39.0,5.0,1.0,0.0,67,18.59090909090909,112.36263736263736,78.08219178082192,114.88095238095238,78.08219178082192
120,LR Shukla,405,358,33,33.0,16.0,0.0,0.0,48,13.96551724137931,113.12849162011173,58.333333333333336,102.28571428571429,58.333333333333336
121,AL Menaria,401,367,23,24.0,18.0,0.0,0.0,40,18.227272727272727,109.26430517711172,81.48148148148148,109.72762645914396,81.48148148148148
122,MV Boucher,394,318,23,32.0,13.0,1.0,0.0,50,26.266666666666666,123.8993710691824,87.09677419354838,97.77777777777777,87.09677419354838
123,CA Pujara,390,403,22,50.0,4.0,1.0,0.0,51,21.666666666666668,96.7741935483871,90.76305220883535,105.4054054054054,90.76305220883535
