,bowler,matches,total_wickets,total_balls_bowled,total_runs,dot_balls,extra_runs,average,strike_rate,economy,best_figure,boundaries_4-6,most_balls_in_single_over
263,P Dubey,3,0.0,168,72,12.0,0,0.0,0.0,9.0,0,5-4,6
267,P Prasanth,1,0.0,21,18,3.0,0,0.0,0.0,18.0,0,0,6
268,P Ray Barman,1,0.0,84,56,2.0,0,0.0,0.0,14.0,0,3-4,6
294,RA Shaikh,1,0.0,21,11,1.0,0,0.0,0.0,11.0,0,2-0,6
295,RA Tripathi,1,0.0,21,12,0.0,0,0.0,0.0,12.0,0,2-0,6
304,RR Bhatkal,1,0.0,42,35,0.0,0,0.0,0.0,17.5,0,2-3,6
305,RR Bose,1,0.0,42,24,5.0,0,0.0,0.0,12.0,0,5-0,6
309,RS Gavaskar,1,0.0,21,8,2.0,0,0.0,0.0,8.0,0,1-0,6
311,RW Price,1,0.0,63,33,1.0,0,0.0,0.0,11.0,0,2-2,6
313,Rasikh Salam,1,0.0,105,42,8.0,3,0.0,0.0,10.5,0,3-2,7
324,S Midhun,1,0.0,49,29,3.0,3,0.0,0.0,14.5,0,2-2,7
327,S Rana,3,0.0,52,18,5.0,0,0.0,0.0,6.0,0,2-0,6
331,S Sriram,2,0.0,63,49,2.0,0,0.0,0.0,16.333333333333332,0,4-4,6
334,SA Abbott,2,0.0,120,57,6.0,2,0.0,0.0,11.4,0,8-1,8
335,SA Yadav,1,0.0,21,8,2.0,0,0.0,0.0,8.0,0,1-0,6
356,SN Khan,1,0.0,3,6,0.0,0,0.0,0.0,6.0,0,1-0,2
359,SPD Smith,1,0.0,3,5,0.0,0,0.0,0.0,5.0,0,1-0,2
360,SR Tendulkar,4,0.0,133,59,4.0,2,0.0,0.0,9.833333333333334,0,6-1,7
380,Sunny Gupta,1,0.0,70,47,0.0,2,0.0,0.0,15.666666666666666,0,4-3,7
395,Tejas Baroka,1,0.0,69,33,6.0,0,0.0,0.0,8.25,0,2-2,6
405,VS Yeligati,2,0.0,119,61,6.0,8,0.0,0.0,12.2,0,7-2,7
411,Y Gnaneswara Rao,1,0.0,21,7,3.0,0,0.0,0.0,7.0,0,1-0,6
