,batsman,Runs_scored,Balls_Faced,Matches_played,Fours,Sixes
404,VY Mahesh,15,28,5,,
405,F Behardien,14,13,3,,
406,MDKJ Perera,14,13,2,,
407,S Badree,13,25,5,,
408,DR Shorey,13,20,2,,
409,DT Patil,13,13,2,,
410,KJ Abbott,13,8,3,,
411,AA Chavan,12,11,3,,
412,Karanveer Singh,12,17,4,,
413,S Kaul,12,28,7,,
414,AR Bawne,12,12,1,,
415,K Upadhyay,12,9,2,,
416,TA Boult,12,15,5,,
417,DAJ Bracewell,12,9,1,,
418,T Thushara,12,19,4,,
419,Swapnil Singh,12,20,3,,
420,DNT Zoysa,11,9,2,,
421,T Kohli,11,20,3,,
422,T Henderson,11,16,2,,
423,Mujeeb Ur Rahman,11,14,5,,
424,M Ntini,11,19,2,,
425,KAJ Roach,10,9,1,,
426,D du Preez,10,13,1,,
427,J Theron,10,13,4,,
428,AG Murtaza,10,14,3,,
429,CV Varun,10,16,3,,
430,BB Sran,10,14,7,,
431,TD Paine,10,29,2,,
432,X Thalaivan Sargunam,10,17,1,,
433,SMSM Senanayake,10,17,4,,
434,SM Harwood,9,14,2,,
435,AA Noffke,9,12,1,,
436,JPR Scantlebury-Searles,8,6,2,,
437,TS Mills,8,11,3,,
438,P Chopra,8,6,1,,
439,CK Langeveldt,8,9,2,,
440,TM Srivastava,8,11,3,,
441,Jaskaran Singh,8,11,4,,
442,M Ashwin,8,12,6,,
443,CJ McKay,8,15,1,,
444,UA Birla,7,15,1,,
445,AN Ghosh,7,8,2,,
446,VS Malik,7,7,2,,
447,AF Milne,7,12,3,,
448,A Nortje,7,6,3,,
449,RK Bhui,7,18,2,,
450,I Malhotra,7,4,1,,
451,IS Sodhi,7,18,2,,
452,Ankit Soni,7,9,3,,
453,P Dubey,7,13,1,,
454,Ravi Bishnoi,7,12,2,,
455,Pankaj Singh,7,12,5,,
456,DM Bravo,6,5,1,,
457,SB Joshi,6,16,2,,
458,SS Shaikh,6,7,1,,
459,PSP Handscomb,6,12,1,,
460,BA Bhatt,6,7,2,,
461,J Yadav,6,12,2,,
462,SJ Srivastava,5,5,4,,
463,Shivam Sharma,5,3,2,,
464,Rasikh Salam,5,4,1,,
465,P Awana,5,14,5,,
466,KMDN Kulasekara,5,3,1,,
467,A Zampa,5,8,2,,
468,B Stanlake,5,2,1,,
469,B Laughlin,5,13,4,,
470,GD McGrath,4,5,2,,
471,CRD Fernando,4,3,2,,
472,FH Edwards,4,5,2,,
473,RS Sodhi,4,2,1,,
474,A Uniyal,4,7,2,,
475,DP Nannes,4,13,2,,
476,Kartik Tyagi,4,6,2,,
477,VRV Singh,4,3,2,,
478,Avesh Khan,4,3,1,,
479,A Chandila,4,7,2,,
480,A Dananjaya,4,5,1,,
481,Younis Khan,3,7,1,,
482,GC Viljoen,3,7,3,,
483,Mohammad Asif,3,6,2,,
484,R Ninan,3,6,1,,
485,JE Taylor,3,4,2,,
486,Kamran Khan,3,5,1,,
487,M Prasidh Krishna,3,11,4,,
488,T Natarajan,3,5,2,,
489,D Kalyankrishna,3,8,1,,
490,S Tyagi,3,4,1,,
491,AJ Turner,3,11,4,,
492,BAW Mendis,3,6,3,,
493,Mohammad Ashraful,2,12,1,,
494,Mashrafe Mortaza,2,2,1,,
495,A Singh,2,10,5,,
496,VS Yeligati,2,2,1,,
497,H Das,2,5,1,,
498,Shoaib Akhtar,2,8,1,,
499,RS Gavaskar,2,8,1,,
500,S Randiv,2,4,1,,
501,SB Wagh,2,3,2,,
502,KP Appanna,2,4,3,,
503,RG More,2,2,1,,
504,HF Gurney,1,5,1,,
505,MA Wood,1,5,1,,
506,M de Lange,1,2,1,,
507,LE Plunkett,1,3,2,,
508,SE Bond,1,2,1,,
509,Shahbaz Ahmed,1,1,1,,
510,DJ Muthuswami,1,3,1,,
511,Mustafizur Rahman,1,3,1,,
512,Shoaib Ahmed,1,6,3,,
513,PM Sarvesh Kumar,1,2,1,,
514,NJ Rimmington,1,1,1,,
515,DP Vijaykumar,1,1,1,,
516,P Parameswaran,1,3,2,,
517,BE Hendricks,1,3,2,,
518,Y Prithvi Raj,0,1,1,,
519,Arshdeep Singh,0,3,1,,
520,KK Ahmed,0,3,2,,
521,SS Cottrell,0,2,1,,
522,DR Sams,0,2,1,,
523,L Ablish,0,2,1,,
524,YA Abdulla,0,1,1,,
525,RR Bhatkal,0,2,1,,
526,JL Denly,0,1,1,,
527,C Nanda,0,1,1,,
528,U Kaul,0,1,1,,
529,Sunny Gupta,0,1,1,,
530,S Lamichhane,0,1,1,,
531,S Ladda,0,10,2,,
532,IC Pandey,0,2,1,,
533,S Kaushik,0,1,1,,
534,ND Doshi,0,13,1,,
535,V Pratap Singh,0,1,1,,
536,Abdur Razzak,0,2,1,,
